,prompt
510,"It's been awhile since this place was reviewed... and probably just as long since my last visit.  In the last few months (or possibly more), this restaurant changed names (it was previously 'The Counter') and cleared out the retail boutique area to make room for more seating.

Future yelper Nancie S suggested we meet for lunch here today, and I was impressed with the changes.  By no means is Chloe's Corner a high end restaurant... it's more like a retro diner with a modern feel.  It's the kind of place you order at the counter and pay for it, and then they bring your food to your table when it's ready.  It's also great for those who want to pick up something quick on the go...

We both ordered the chopped salad and a side of toasted cranberry walnut bread.  It was really tasty!  You can tell they use high quality ingredients... the salad is a unique combination of field greens, turkey, bleu cheese, walnuts, and grapes with poppyseed dressing.  I would for sure order it again although the tuna melt looked pretty amazing too!  There are several other 'classic' items on the menu such as grilled cheese, tomato soup, milkshakes, etc...

Even more impressive than the lunch was the fact that I found a parking spot right away at Kierland and I left without going into one single store.  I'm so proud of myself for that... any fellow shop-a-holics know how hard that can be!

Although I did like this place when it was ""The Counter,"" it looks to me like the change that Fox Restaurant Concepts made to this restaurant was a good one!

###

"
511,"This is about as good as it gets for Asian food in this price range.  The chicken isn't chewy like many other inexpensive Asian restaurants.  I've had several of their dishes and without a doubt the Yakisoba with chicken is my favorite.  I love the white-meat chicken and broccoli (with Teriyaki sauce).  The broccoli is quality, and never overcooked.  And I love their Teriyaki sauce.

###

"
512,"Well I liked this place it smokes it's main rival Hooters. The food is much better more  screen TV's and the girls are much better looking. What else can you say.

###

"
513,"Living in this area I frequent Desert Ridge a lot, and have been to this Macaroni Grill several times... their food is actually pretty good which is why I let the horrible service slide a few times... My friend and I have had experiences such as standing at the host stand with no assistance for several minutes while several employees made eye contact. Of course, no one asked if we had been helped, until the hostess finally made her way back up to the stand and decided to ignore us for another couple of seconds before she even acknowledged us. 

Another visit we were seated right away however it took over 15 minutes for our server to come to our table, and that was only after I had to get out of my seat and find one of the employees to ask for our server. I know several people saw us just sitting there, the least they could have done was asked if we had been helped or not. 

This last experience, was about a year after the last. I thought maybe they would have changed. I most definitely thought wrong! We were seated promptly and the server was there right away this time. However, our food took FOREVER! Literally, it took over 30 minutes for a medium rare steak and a plate of pasta. I know for a fact they messed something up and ended up taking food out of a to go container and placing it on the plate that they then brought to me (you can see right into their kitchen from the dining room). The server never apologized nor did she come and tell us what the hold up was. 

Overall, I will never go to that restaurant again.

###

"
514,"Fabulous! Great views (obviously) of the city. Very romantic. Amazing wine list. Superb service. Delicious menu. 

Luis was our server - great guy full of very helpful information (especially wine pairings). LOVE the lobster bisque (I'm usually not a fan of lobster or bisque). Amazing flavor combinations in everything we tried. I also love ending my meal with a perfect vanilla bean creme brulee. 

Highly recommend if you're bringing a newbie to Phoenix or if you'd like a romantic night out.

###

"
515,"This review is for locals...the Hyatt isn't just a beautiful spot to stay it, it's also a perfect spot to just sit and enjoy the day! I've done this several times, many times for dinner and drinks afterward on the patio. Most recently, I decided to set up shop and do some work from one of the comfy chairs on the outdoor patio which allowed me to enjoy the gorgeous Arizona weather and still get some work done. They do an excellent job of making the hotel amenities comfortable and welcoming. 

For hotel guests, if you are planning to stay here, be sure to look into staying in one of the rooms that sit on the man made lake. They have great patios right on the water so when you wake up, you could have breakfast on the lake! It doesn't get much better than that.

###

"
516,"I found some great t-shirts for friends here, including one from a local PHX artist with a grinning skull.  

If you're a hipster or looking to buy gifts for one, then this is the place to go. 

Plus, the clerk was using a Mac (not that I would expect anything different, but bonus verisimilitude points for fitting in with your surroundings Mr. Clerk).

###

"
517,"We were taken here by our host in Phoenix.  It's one of the prettiest Mexican restaurants I've been in, with a courtyard surrounding a duck pond (there is a sign requesting you not feed the ducks tortilla chips!).

The margaritas were great and my chicken was excellent, as were my partner's tequila shrimp.  Would definitely go back there if I were to visit Phoenix again.

###

"
518,"This place is a little more fancy than I expected....decor and atmosphere-wise...I thought it would be plain and simple like Red Lobster but actually the place has a very southern homey feeling to it.....although a seafood place they had like deer heads hanging and other sorts of weird decor. 
 
Came here for dinner yesterday night with my bf and his apartment-mate...we got a table right away but even for a weekday they were still half a full house. The first thing I saw on their menu was the Crispy Alligator appetizer. ALLIGATOR! ooooh but then I wanted to try their oyster appetizers cause they sound good too....ahhhhhh their menu is full of yummy choices! It was difficult deciding what I wanted to get...but after much debate....my bf and I decided to order the Oyster Duo appetizer and share the Pappadeaux Platter -- which is an amazing sample platter of all the fried variety they offer on the fried seafood section of their menu. 

So the Oysters Duo -- comes with 3 oysters on half shell baked with a parmesan romano cheese sauce and 3 oysters on half shell topped with crabmeat, spinach and drizzled with Hollandaise sauce. -- oooh they were both delicious however I recommend the later one more just cause it's very unique to this restaurant. I got to also try a few pieces of the Crispy Fried Alligator from our friend's Appetizer Trio Platter - It was pretty good actually tastes like chicken...but surprisingly more tender - I was thinking alligator meat would be tough and rough but not at all....I wouldn't have known it's alligator meat if you didn't tell me. But now I can say I have had alligator meat!

The Pappadeaux Platter was pretty good - everything is well  -- fried! However I like the blue crab cake the most, the mini fried crawfish (kind of like popcorn shrimp) is second best however I have to say that the fried Tilapia was a disappointment because it was sadly bland and really dry...it was the only thing I didn't like on the platter. but everything else was good. - - I even tried their watermelon lemonade and it was super refreshing!

I was really excited for dessert cause I saw them carrying around a platter of sample of the desserts that they have...so when we were ready for dessert I was excited to see the dessert platter - unfortunately there was nothing on the dessert platter I wanted because they all looked really rich and sweet....such as their sweet potato pecan pie, key lime pie, praline cheesecake, praline bread pudding souffle or turtle fudge brownie was just too much even for the eyes..lol They were also massive in portions so I decided not to have any. 

The service was really good, our waitress was pretty quick and friendly. Overall I enjoyed the most of the food (except the fried tilapia) and the service is good so it earned it's four stars. :)

###

"
519,"We were in Phoenix just yesterday and stopped by Roberto's for a third time. We've yet to be disappointed!  My husband loves the breakfast burritos, which he gets with one of the soft sided (el pastor) tacos.  Being no fool, I go straight for the el pastor chimi (solo, not the platter)!  It's a good thing we don't live any closer, we'd be weekly regulars and I don't think I could swim that many laps to make up for it!  On our first trip I had the chicken chimi, and could not believe how tender the meat was, absolutely delicious. Then I discovered the el pastor...au revoir chicken (as good as it was!).  I don't know what kind of marinate they use, but we love the flavor and tenderness it brings to the pork. Yes it's in a gas station, but we've always found it to be clean and the food is always fresh.  We arrived around 11:30 yesterday and got there just in time to beat a steady stream of regulars stopping in for lunch.

###

"
520,"Excellent doppio and drip coffee this morning at Press Coffee, though the naughty side of me wanted a pint of Tripel Karmeliet, Lindeman's Framboise Lambic, New Belgium Mothership Witbier, or Great Divide Pale Ale.  Cafe light breakfasts were served to some patrons, and most observations I had were of little English muffin egg sandwiches with assorted toppings inside.

Coffee is the main focus here, at least by decor and by what most people were drinking this morning, and you can't resist noticing the craft beer taps as you enter the place.  

Not terribly busy as this place hasn't fully been discovered, or really becacuse this area isn't fully developed yet.  Enjoy it while you can.

###

"
521,"Last time I went to Zinburger I was wearing a black dress, and the hostess switched out the white napkin with a black one.... real classy.

###

"
522,"Though a couple of hiccups could've ruined the night, Roaring Fork took great care of my boyfriend and me and the food was delicious to boot (ha, boot. Get it? cuz it's western? Never mind).

We were surprised at how busy they were on a Tuesday night, but we were able to snag a table on their beautiful covered patio. The atmosphere was nice, and i was surprised at the range of patrons (a family of 5 with 3 fairly young children at one table, and a 10-top of blue hairs right next to us). Our server Charlie was very nice and helpful when it came to selections (from wine to food). We are trying out places in prep for a family visit, so we want to make sure we get a good sapling of the menu.

We ordered a bottle of sauv blanc, and though the wine was delicious, it took about the half the meal for Charlie to bring out the marble chiller. Thankfully the wine started out pretty cold, so no harm no foul. I orderd a bowl of tortilla soup (one of my faves) and I was impressed witht he presentation and taste. The bring the bowl with the chicken and tortilla strips out then pour the broth from a pot right at your table. Helps keep the tortilla strips crisp and was a great presentation. The soup was delicious, though a little creamier than i normally like my tortilla soup. We also ordered the seared ahi with guac and THAT was amazing. The pepitas crackers were delicious and interesting and the ahi was perfect. Great app for sure. Plus, the bread and butter were super delicious too. Garlic biscuits, mini corn bread and pepper butter? so good!

For entrees the boyfriend ordered the bacon wrapped pork loin over grits and I ordered the signature Dr. Pepper BBQ Baby Back Ribs. We subbed fries for asparagus and green beans and ordered an extra side of their green chile mac and cheese. I know, a lot of food, but we planned on taking most of it home. Here's where it got interesting. Or should I say, boring. 

So far everything (except the chiller) had been delivered timely and was tasty. But when we realized we'd been waiting 30 mintues or so for our entrees to come (after they'd taken away our apps), it started to get a little annoying. After about 40-45 mintues, the manager came over and leet us know our tray of food had been dropped and had to be re-made. No problem! I understand accidents happen. But i think it would've done a lot to smooth us over if they'd told us right away the spill had happened rather than waiting until we were about eat the burger off the table next to us. RF did recognize the inconvenience though and completely took care of us when the bill came. So props to them for that, and we didn't even complain or ask for any special treatment.

When the food finally arrived, the ribs were OUTSTANDING. the sauce was perfect, not to sweet, not to flat. And the meat was literally falling off the bone. The veggies were all good, but the really show-stopper was the mac and cheese. The crumble top was delicious and the cheese was melted and runny but not stringy or clumpy. Spicy from the green chiles but perfectly reasonable. I want another kettle of them right now. So good. The boyfriends dinner was also good, but i think my ribs and the mac and cheese were really the best part.

We boxed everything up and ordered the huckleberry bread pudding to go. I was disappointed they no longer do the pineapple upside down cake, which so many yelpers have recommended, but I loved the bread pudding as a substitute. the buttery sauce didn't reheat very well at home, but it was still very very good and the ice cream was a perfect complement. I would totally order it again. Like a muffin fresh from the oven, still a little gooey.

Overall, i loved the food and the staff was really apologetic bout the ""incident"". The atmosphere is great and i would definitely come back. Next time, the burger!

###

"
523,"We didnt feel like going out and decided to order in.  Compared to most delivery restaurants of this style, we were happy not to get a salt bomb for a meal.  Only quibbles were ordering two larges and only getting one rice and their online menu not being accurate with regards to pricing.  Good flavor on the Kung pao.

###

"
524,"Another 5 star review. I saw Beauty and the Beast with my little niece last night and she couldn't stop talking about it. 
(It was her reward for having good grades) 
I know I'm supposed to be the reviewing the theater, but I can't bring myself to rate them lower than 5. It was such a good show that even though there were a few minor issues at the theater,  they still deserve 5 stars. The auditorium is starting to show its age and hopefully they get the funding to make improvements. (Also some lady with a big head sat in front of us and my little niece couldn't see, so I changed seats with her.)  No big deal. 
Other than that the staff were very professional and helpful as always. 
Thank you again to yelp, Lindsey and to Gammage for giving us complimentary tickets. My little niece and I appreciates it and we enjoyed the show. :)

###

"
525,"Just happened to be in the neighborhood when we saw this BBQ place.  The pulled pork and beef did not disappoint.  The sandwiches can be called 'hardy' portions on large buns.  The sauce was excellent.  The place is very clean.  Very good service.  Was not impressed with the coleslaw - seemed flat.  Will return as the high ratings of this establishment are well deserved.

###

"
526,"For some reason this reminds me a bit of Dukes in Waikiki. Food is OK, not bad, not good either. Service is OK, not bad, not good. The best part about this place is that they don't have a cover and its easy to get into. Its good for a beer on a pub crawl or to sober up for a couple of hours b4 2am. One of my coworkers literally drops $100's here per week and I don't think hes ever gotten a free beer. I think that says something about the place.

###

"
527,"7/07/10

Don't get me wrong, I still love JFG; I just didn't care for its BBQ pulled pork sandwich and fries.  The coleslaw was good, but not so fantastic that it's worth the pain after.  I thought that the pork had too much of the cloyingly-sweet sauce.  Wasn't so sweet when paired w/ the garlic toast points.  However, if you look at the included photo, you'll see that the two pieces of bread were under the pork, and therefore completely saturated w/ sauce.  I like accompanying bread to be crispy/crusty (love that crunch!), so all I had to enjoy that afternoon w/ the pork was the part that stuck out from under all that sauced meat!  What a waste (tsk, tsk)!  The boat of fries was just a complete soggy mess.  I should've asked them to sub sweet potato fries instead, but why must I pay extra to get a perfectly crisped product?  Then again, one (wo)man's treasure is another (wo)man's trash, and vice-versa, eh?

Today wasn't a great day for me w/ regards to Mr. Johnston's two restaurants (see my ""recent"" Coffee Shop review).  I hope my next visit to a Johnston concept yields a happier adventure!

###

"
528,"Absolutely fabulous espresso place! The owner and staff are gracious and friendly, but most importantly they get coffee! I didn't have to explain how to make an espresso macchiato -- they just made it perfectly! I'll be here every time I visit Chandler!

###

"
529,"Don't dog Old Navy. 

Despite a sub par and semi-annoying marketing campaign, clothes here are aight with me. 

And where else can you get a perfectly good pair of cargos and boardshorts for less than thrity bucks a pop? I'm no fashion snob, but I like to think I can generally distinguish ""awful"" from ""not awful"" in most cases. 

For the ""not awful"" variety, Old Navy is dirt cheap and top notch.

###

"
530,"Great little sushi spot with a heck of an all-u-can eat deal.  I like it.  The staff is great, the food is great quality and the prices are fair.  My only complaint: Nearly every time I leave Sushi Q I get hit up by the pan handlers working the liquor store next door.  4 stars for price, quality, and staff.

###

"
531,"If I could give zero stars, I would.  I have never spent more time looking for a bar than I have looking for this. And not like a cool underground dance club in L.A.  When we finally found this sh*thole sandwiched between two vacant businesses, it was barely visible.  The sign for it looked like it was written with a sharpie on a piece of cardboard and someone duct tapped a flashlight to it.  Before we even entered the bar, as my friend and I were walking up two redneck bikers whispered, ""Fags"" as we walked by them.  I don't think these were the kind of guys you argued with so I let it go.  When we entered the bar I noticed several ""No firearms"" signs plastered on the walls.  I'm assuming they've had a problem with this before.  Remember that scene in the Blues Brothers where they go to the country bar and get the look of death from the patrons?  That's how I felt.  The decor of this bar was interesting.  It looked as if they got the tables and chairs from an old 70s Vegas casino.  The place is about the size of a small apartment's living room so getting a seat is pretty much impossible.  We went to the bar to do some karaoke, but apparently they also sell crappy jewelry for some reason?  Weird.  I've also never heard so much cussing from karaoke singers.  One of the drunken hicks actually got into a shouting match with one of the morbidly obese toothless tattooed bicker chicks where they argued who was the bitch and who was the pussy.  Halfway through my beer, my friends showed up and they refused to go inside so I ran away and never looked back.  TIP: If you go here wear a black leather jacket, bandana and Harley Davidson gear.

###

"
532,"I'm not going to lie, Pizzeria Bianco's food was great. But 5-star worthy? Maybe not.

I didn't mind the wait, mostly due to the fact that I had been mentally preparing myself for a few days (and I also ate a snack around my normal dinner time.) The hostesses and waitstaff were kind and helpful. 

But when it comes down to it, I just didn't think the pizza was OH-MY-GOSH-WHAT-A-PIECE-OF-PIZZA good. I actually think my opinion might have been negatively tainted by the hype. It was built to such a crazy-high status; I don't think it would have been possible for any restaurant to live up to that. 

However, I do think that everyone in Phoenix should experience Pizzeria Bianco once. Plus, it is a great place to take out-of-towners or a date. It's just not somewhere that I would frequent regularly.

###

"
533,"I dig this place, I really do, but the portions are small. They do make up for it  by packing a straight kick to your man or woman pleaser with zesty flavors. I didn't dig the guacamole-too much salt, but loved, loved, loved the chips that came with it. The place is quite spacious and modern with featured art on the walls. I went for dinner so the lighting was minimal giving the place a sexy, urban feel to it. The kind of lighting that makes you wonder if the people are really this good looking? Or is the lighting really just this good??? 

The carne asada beef tacos were divine. Really moist and succulent with just enough spice to make your taste buds tingle. Two is hardly enough, so we also tried the fish tacos and well, I could smell the fishiness from across the table which makes me a little uncomfortable. I did try it, though and it was okay. Not too fond of anything that tastes or smells too fishy. Reminds me of unsanitized, dirty, dirty girls. (Haha, had to throw in a visual for you all!)

My favorite plate was the ensalada cortada. I loved all the ingredients mixed in together, especially the corn nuts. Genius idea! 

For drinks, I had the la sangria. Fruity, refreshing, and light tasting. It was really good, but I passed it on to my date in hopes of taking advantage of him later on. Almost worked, but when we got to the normally secluded rooftop @ the Clarendon hotel, they were hosting a social gathering of some sort with lots of people. Damn. Should've drank my sangria. Oh well...another day since I will most definitely be back for some more Gallo Blanco. I can't wait to try their breakfast menu!

###

"
534,"Great fresh food and vegetarian options! I will definitely return!!

###

"
535,"I've only flown in and out of Pheonix Airport through Southwest, so i've only been in one section of this airport- but it isn't that great. THe food choices are slim and none are fab- I mean, really what airport had fab food- wait DFW does! Anyway- the Sky Harbor does have is a great view and decently clean restrooms.

###

"
536,"first time here and i wasnt all that impressed. lets just say i was afraid to ask my waitress when she was due.. but thats beside that point. bunch of tvs tho i had to squint to see whats going on. my eyes arent that great but whatever.

it was a wednesday so they had margaritas and mexi beers on daily special, which varies. had 3 margaritas fairly fast. felt nearly nothing. weak as hell. i expected to half stumble out of the place but really i was fine.

decent selection of wing flavors. which i might start seeing as a bad sign. tried the El Heffe wings. dry and dusty but a decent taste, with no real kick like it says, except maybe in the stomach itself. and the extra dollar for them? shouldve been a dollar less.

cant screw up peanuts. the peanut shells on the floor novelty was probably the best part of the place, because you cant be that messy anywhere else but a baseball game. thats an extra star in itself. 

the rest of the menu looked good so i may be back on a day with better drink specials and try something new to eat. ill update this shit if i do so......

###

"
537,"I thought I disliked brownies, but these are damn good. In fact, every flavor is delicious. I was pleasantly surprised. Holla!

###

"
538,"My review is only for the purchase of a non-disposable diaper at this swim school. As soon as I entered, I was promptly greeted and asked how they could help me. I explained that I was looking for a non-disposable diaper for my lil'un and they asked about weight etc and found the perfect one for her. 

The lady explained to me that the non-disposable diapers are so good that even if for some reason there is an accidental Code Brown, if you know what I mean, they will not charge their patrons. They really believe in the product that they sell. 

Their swimming pool looks nice and clean and this could really be a fun place for little kids. I know they do parent and child classes here also.

###

"
539,"A great value for a far superior hair cut than are likely to get from a national chain.  We have been going to Tara for 3 years and she has created a warm and friendly environment that kids love.  There are plenty of TV's for kids to watch a show if they are not big fans of haircuts.

###

"
540,"Always love it!! so good and good price

###

"
541,"I love the clothes and accessories, the staff is friendly and the prices accomodate everyone!

###

"
542,"Best seafood place I have found in the Phoenix area.

Everything from the crap dip to the crab legs and oysters is delicious. They have a wonderful fish selection as well and even their steaks are good.

Service has always been excellent every time I have gone.

Can get very busy on nights so try and go early if you can.

###

"
543,"A new breakfast option in old town Scottsdale. The decor is superb and the weekend crowd is minimal. Juevos Rancheros and the Skirt Steak & Eggs are both fabulous. Prices for breakfast are reasonable.

###

"
544,"This place has been here 7 years and we have never been. Are you kidding me? The food is excellent. The people who work here are friendly and seem to be happy to be there, which is most important. I tried the make your own half salad and half sandwich. YUMMY!!! There are many choices for salad toppings. There us nothing I like more than a huge, fresh salad. I chose to top my salad with avocado, tomato, bacon, edemame, feta cheese, and whipped balsamic vinaigrette. I really think this was the best salad I have ever had! They make the salad in front of you and mix in the perfect amount of dressing. I chose the chicken pesto sandwich. The combo of these items was a perfect portion for this hungry girl. The sandwich was excellent. My hubby ordered the Cuban pork sandwich. This is one huge sandwich! It was difficult to get his mouth around it, but once he did, it was awesome!! Typically, we don't like coleslaw, but it was really good, especially combined with the tender pork. We will return to the Market Bistro, again and again. 
Loved it!!!!

###

"
545,"Couple things.  First, I am reviewing a Delivery order that I placed.  (If you didn't know that they delivered... Now you do!)

You start by looking at their website, which is modest.  It's a black background with White text.  Pretty much all of their food is available for take-out, except for the alcohol.

*TIP* Make sure to look at their PDF Menu.  It has TONS of more choices than what is listed on their Website.  I wasn't even aware of this fact until I had ordered my food.

At this point, they do not have online ordering set up, so you call and place your order that way.

Cornish Pasty's (pronounced Pastie, not Pastey) are amazingly delicious.  They take whatever filling you choose (from the Chicken Alfredo to the Bangers and Mash), and they place it in a thin, crisp dough that surrounds it.  Think of a Calzone, except the Irish version.

Now, these are very, very filling.  They are modestly priced (all of them are less than $10), and they are EXTREMELY DELICIOUS.

Make sure you give them a try.  I will sure be eating here again!

###

"
546,"What more can I say except it is over priced, greasy Mexican food! I have had better in Texas, the only thing that saved them from being a one star is their great salsa!

###

"
547,"I actually love this place and I always get great service when I'm there. The tootsie roll is by far my favorite. 

I must say, however, that I recommend the Sakana on Power over the one on Elliot... for some reason, I like the sushi over there better...?

###

"
548,"Simply the best sandwiches I have ever tasted.

The Mozarella, Tomato, Basil is perfect. The focaccia bread is perfectly crunchy and slightly salted to the consummate texture.

I wish I still worked closer...

###

"
549,"These are some great cheesesteaks. I have come here multiplier times and have never left unhappy. The staff are nice and the food is delicious.  
Also try the 'Cheesesteak Fries' they are freakin amazing! I am glad I work next to this place, always a great lunch.

###

"
550,"Jodi is fantastic!  Extraordinary!  After too many expensive yet less-than-average salon expereinces, my hair has been less beautiful than its potential.  Jodi gave me a very thorough consultation after I did some research to find the best colorist for me.  During my appointment, Jodi was professional, efficient and friendly.  I left the salon with soft, gorgeous hair... lovely color, care of the INOA line, and I felt beautiful again.  She did what at least half a dozen other highly recommended colorists did not accomplish.  I'm ecstatic and relieved and I have finally found my colorist.  What more can a girl ask?  Thanks so much, Jodi.

###

"
551,"Food was tolerable, and tasteless.  The chips were actually tostadas that were extremely hard (almost stale) when eating. The entrees we ordered were bland.  The rice and beans had no flavor at all.  Maybe that is Baja style of food, but couldn't find the flavor anywhere.
The service was great and the ambiance was wonderful, but I don't think we'll be going to this place again.

###

"
552,"Excuse me. How in the world have I lived walking distance from Cornish Pasty Company for over a month and have only barely heard of this gem?! Thats what I want to know.

A friend introduced us to Cornish Pasty saying it is ""the best restaurant ever"". I best give it a try then right? The Tempe location is smaller than the Mesa location but I LOVE its vibe. A small narrow walking space between people sitting at a counter behind the kitchen and people sitting at teeny tiny tables, dim lit lighting and candles and for the most part, pretty good music. 

My man and I ordered the Mexican Pasty and the Rosemary Chicken Pasty. They were unbelievable! SO GOOD. The Mexican Pasty was definitely the better of the two but I'd order both of them again any day. A little heavy dinner action to make a girl feel full and happy. I respect restaurants that have a plethora of vegetarian options. What generation are you living in if you don't offer veggie options these days? Get with the program all you other restaurants. You know who you are! 

I loved the entire experience and can't wait for our next trip.

###

"
553,"Wow, that is some great BBQ.  Probably the best I have had in Arizona.  The pork was great as were the BBQ beans.  I will be there again and again!

###

"
554,"Great store but lack of certain items

###

"
555,"It'd be nice to see this chain grow and get a little more traction in the Valley.  The shoestring fries are pretty good, the burgers have a great seasoning.  Maybe the burgers could be a little bigger, I guess, but I'm nitpicking.

The real star for me is the custard, and my favorite is picking up a good chocolate shake.  The stuff is very rich and a sugar coma waiting to happen.  Shakes aren't the cheapest, but they're pretty unbeatable mood boosters.

I'll have to change my review once I try more on the menu, but for now, I'm a fan, and I enjoy the place.  Good fast food and doesn't disappoint.

###

"
556,"So I was introduced to this station about 6 months ago by a fellow yelper who goes by Amy D... She has a wicked 8-10 spot on Tuesdays and I thoroughly enjoy listening to it on a weekly basis. Well, I was happened upon an opportunity... Nay! A priviledge of being a guest on this FABULOUS show and, being the attention whore that I have been labeled, I accepted.  I won't go into HOW I found myself being handed this prestigious title of KWSS Guest, but it involved a House of Clubs, Twitter, and a whole lot of begging (on my part)...

There I was... in the presence of 100% pure, raw (Can't decide which word to use ""Talent"" or ""Creativity"") and in a pretty bad ass studio. The Fabulous Amy and I discussed all the important topics of the nation/world and stumbled on numerous great ideas. One being a cure for cancer! Okay, we didn't discover a cure per say... but we did briefly talk about it.

The listeners were top notch and the atmosphere was professional, yet extremely comfortable. Plus, we actually got some free talent from a caller! He was awesome and sang me happy birthday.  It was sexy.

Thanks for a great time, Amy and KWSS! You rock, alternatively!

###

"
557,"yummy! that's all i have to say about my blazin' buffalo sandwich on foccacia . the foccacia was a perfect specimen: light, appropriately herbed and airy. the sandwich fillings (sliced roast chicken, tomatoes, ranch, lettuce, and buffalo sauce) were fresh and yummy. i had a coupon for a free drink which made my sandwich, chips and a drink $7.47. a pretty awesome lunch for less than $8 makes me happy. almost as happy as buffalo sauce makes me. i have a tendency to be obsessed with buffalo sauce. a word to the wise: my co-workers got pasta salad and it looked awesome. they said it was tasty too. i was jealous. there's no up-charge for pasta salad - i recommend you get that instead of stupid chips you can get at the grocery.

###

"
558,"Hubbard Family Swim School has become a staple for our family. You can feel the warmth and dedication on every visit. Our kids love it and are excited to come to every lesson. We even have birthday parties here!

The instruction is top-notch and it's evident while watching through the huge glass wall.

Most of all, my 5 year old is a much better swimmer than I am, his father. Thanks to Hubbard.

###

"
559,"Gross, tasteless food.  Good margaritas.

###

"
560,"WOW!  I have never been to a place with service this horrible.  I may have caught them on a bad night, but I'm not giving them a second chance to find out!

I came in with a group of 4.  We stood up front for 5-10 minutes before waving someone down to be seated.  That was a mistake..

As we're waiting for a server to take our drink order, we noticed that EVERY single table had empty cups waiting to be refilled, dirty plates that needed bussing, and people with impatient faces.  There was only 1-2 dedicated servers, and they completely ignored us.

We stuck around just to see how long it would take before someone took our drink order, it was like being in the Twilight Zone.  After 30 minutes and flagging down 3 employees, we just walked out laughing, no one had even apologized for the wait, I'm not sure they even saw us leave!  It was the strangest restaurant experience of my life.

What a joke...

**EDIT**  To their credit, right after I posted this review, I received a message explaining that the Director of Operations would like to amend the situation, even going so far as to include their cell number.  I admit that I feel strange posting such a negative statement amid all the 4 and 5 star reviews, I'm assuming I caught them on a really bad night.  I'll edit this if I ever return to the restaurant, but the fact that someone actually reached out to try to rectify things says something

###

"
561,"Clean, bright and quick.
I came here with my husband, and we both had a combo-platter that included one masala dhosa, an idli, and some sambar. It was all tasty -- and waaayyy too much food.
I guess it's a mixed bag because some of his friends (they all work nearby) come here multiple times a week for lunch, and others swear its awful. 
As for me, I like the chutney bar - it's nice to be able to get as much as you want, and I recommend both the coconut chutney and the mint chutney -- or, blend them together, like my mother-in-law does with her homemade kind. Yummy.
I think this place is quite tasty, but I won't come here often, just due to the fact that it's a major carb overload, and I wish the dhosas weren't quite so expensive (I think they're about $7.50 for one?).
But, that being said, it's great for a once-in-awhile-treat.

###

"
562,"Referring  to Mickey's as a  ""dive bar"" is like referring to Princeton as a ""secondary school"".  Its a lazily, flaccid description for a bar with a fist-full of moxie.  Their Bloody Marys alone feature a fucking brawny-assed, gigantic totem pole of man-meat.  Well, not ""man meat"", but meat-fit-for-a-man.  You get the point.  

Look, the main point is that no ""dive bar"" is gonna be serving yo ass peppers and salami in a $5 tomato Slurpee.  

People often mistake ""kitsch"" as ""obsolete""  and these these are the type of people who would use the word ""psych!"", and grease their side-hair back after swindling you into a fake low-five.  

And i would like to agree with their lowly opinions of Mickey's, but then, I wouldn't want to be wrong also.

If you've ever been to Welcome to the Johnson's in the Lower East Side, and moreover, enjoyed yourself there, then Mickey's is your Arizona equivalent.  Think of it as, Welcome to the Merriweather's.  Scottsdale name, New York kitsch.  

So, their bar service is kinda tough, but once there, they have a kickass selection of brews both ironic and sincere.  You want an Old Style followed by a Boddington's?  Where else but Mickey's?

Their kitchen is open late, which, for the love of all that is holy, is impossible to find in this three-bedroom-two-bath-house of a town.

Even better, their food is goooood.  I mean, heart palpitating good when you consider how delish bar food REALLY CAN be at 2 am.  No, it ain't Capital Grille, get over it, but their wings, fries, chix tenders, et all hit the f'ing spot when you've had too many Jamisons (or Jager/Patron shots for the resident middle schoolers).

They just recently seemed to have remodeled their patio, which looks really great, but lost most of its charm.  Still, space to move and a decent spot to smoke outside beats a macrame couch, or whatever, every day of the week.

Anyway.  I like this place.  They lose a star for making me pay $3 for a pretty tame DJ and for hosting Ohio State functions.  Fuck em.  Go Horns.

###

"
563,"The greatest community that I've ever been a part of!  Gilbert Crossfit isn't just a place where you can get in the best shape of your life... it is a community of friends that share the same outlook on life, support eachother in everything they do and truly care about one another.  Getting in shape and doing things you never thought possible is just the added benefit of being part of this group. 

If you are looking to get in shape, live a long healthy life, and have fun with a great group of people... come by Gilbert Crossfit.. You'll never go back to a Globo Gym again!

###

"
564,"I seriously love this store. I wish I didn't live so close because I always find myself here without even realizing it. 

I can always find something here that is awesome. I pretty much never leave empty-handed. They have some really great deals and prices on clothes, shoes, accesories and purses.

Their high end stuff is still kind of ridiculous though. But that could just be my broke-ass opinion.

###

"
565,"How excited can you get about a car wash joint? Well, not very! Yet, this place does a good job for $8.99. They're pretty thorough, includes vacuuming, and it looked like they sprayed some waxey stuff on my Wifey's black, Honda CRV... Looks great! They have a lovely inventory of greeting cards as well.

###

"
566,"This is one of the top three Dog Parks in the Valley. Plenty of room, well lit in the evenings, plenty of water. I've seen the attendance shift slightly in the last year with less hipsters and more kooks coming in. Not a problem though because there are always multiple groups to mingle with.
For photos and a complete review of this park go to www.dogparkriot.com.

###

"
567,"love love love it! What a quaint little piece of heaven. Located south phoenix...I wasn't sure what this place would look like as we kept driving south but as we walked onto the property it felt as if you were no longer in the big overcrowded city. We went to the morning glory cafe for breakfast. The food was wonderful and the presentation was great! I highly recommend it. It would make a wonderful place for a baby or wedding shower!!

###

"
